	Abies_amabilis	Abies_grandis	Acer_circinatum	Alnus_rubra	Amelanchier_alnifolia	Corylus_cornuta	Cornus_nuttallii	Holodiscus_discolor	Menziesia_ferruginea	Oemleria_cerasiformis	Pinus_monticola	Pseudotsuga_menziesii	Rhododendron_macrophyllum	Rhamnus_purshiana	Rosa_gymnocarpa	Rubus_spectabalis	Taxus_brevifolia	Thuja_plicata	Tsuga_heterophylla	Vaccinium_membranaceum	Vaccinium_ovalifolium	Vaccinium_parvifolium
F03	3	0	36	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	5	0	0	0
F04	18	0	51	0	0	0	0	0	0	0	0	2	0	0	0	0	6	0	8	0	0	0
F05	19	0	45	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	13	0	0	1
F06	7	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	15	0	0	0
F07	7	0	47	0	0	5	0	0	0	0	0	1	0	0	0	0	4	0	7	0	0	2
F08	46	1	43	0	0	1	0	0	0	0	0	1	0	0	0	0	7	0	3	0	0	0
F09	18	0	24	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	8	0	0	2
F10	11	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	10	0	0	2
F11	18	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	27	0	0	7
F12	17	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	10	0	54	0	0	8
F13	10	0	11	0	0	0	2	0	2	0	1	0	0	0	0	0	6	0	16	0	0	0
F14	3	0	3	0	0	0	3	0	0	0	0	0	1	0	0	0	5	0	20	0	0	0
F15	2	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	2
F16	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0
F17	1	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	18	0	2	0
F18	3	0	7	0	0	0	3	0	0	0	0	2	0	0	0	0	11	0	29	0	0	4
F19	9	0	5	0	0	4	0	0	0	0	0	0	0	0	0	0	4	0	33	0	0	6
F20	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
F21	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	3
F22	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	14	0	0	1
F23	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	12	0	0	0
F24	1	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	16	0	0	0
F25	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	3
F26	6	0	14	0	0	0	1	0	0	0	0	3	0	0	0	0	10	0	8	0	0	0
F27	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	21	0	0	1
F28	4	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	13	0	0	0
F29	6	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	13	0	0	0
F30	7	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	8	0	0	0
F31	3	0	12	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	8	0	0	1
F32	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	20	0	0	2
F33	2	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	42	0	0	1
F34	2	0	12	0	0	0	2	0	0	0	0	2	0	0	0	0	1	0	24	0	0	2
F35	1	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	3	0	11	0	1	2
F36	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	15	0	0	2
F37	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0
F38	16	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	7	0	9	0	0	0
F39	1	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	11	0	0	1
F40	15	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	19	0	0	5
G01	11	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	27	0	0	1
G02	17	0	16	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	9	0	0	0
G03	15	0	26	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13	0	0	1
G04	9	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24	0	0	1
