	Acer_negundo	Acer_rubrum	Acer_saccharum	Ailanthus_altissima	Amelanchier_arborea	Asimina_triloba	Bumelia_lanuginosa	Carya_cordiformis	Carya_glabra	Carya_ovata	Carya_texana	Carya_tomentosa	Celtis_occidentalis	Celtis_tenuifolia	Cercis_canadensis	Cornus_drummondii	Cornus_florida	Diospyros_virginiana	Frangula_caroliniana	Fraxinus_americana	Gleditsia_triacanthos	Juglans_nigra	Juniperus_virginiana	Lindera_benzoin	Lonicera_maackii	Ostrya_viriginiana	Platanus_occidentalis	Prunus_americana	Prunus_serotina	Quercus_alba	Quercus_marilandica	Quercus_muehlenbergii	Quercus_rubra	Quercus_stellata	Quercus_velutina	Sassafras_albidum	Tilia_americana	Ulmus_rubra	Viburnum_rufidulum
2313	0	0	0	0	0	38	0	0	1	1	0	0	2	0	1	0	3	0	18	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0
2314	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	15	0	21	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0
2315	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	13	0	62	1	0	0	0	1	9	0	0	0	0	5	0	0	0	0	0	0	0	1	0
2316	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	11	0	58	1	0	0	0	0	3	0	0	0	0	3	0	0	1	0	0	2	0	1	0
2317	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	2	0	84	0	0	0	0	5	9	0	0	0	0	0	0	0	3	0	0	11	1	2	0
2396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2397	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0
2398	0	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	17	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	1	0	0	0
2399	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0
2400	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	0	23	1	22	1	0	0	0	0	0	0	0	0	0	3	0	0	4	0	0	1	0	0	0
2401	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	1	10	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0
2402	0	1	0	0	8	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	1	0	0	0	0
2403	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	0	0	0	0
2404	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	0	0	2	0	0	0
2405	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	1	9	0	0	0
2406	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	3	2	0	0	0
2407	0	1	0	0	20	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	8	4	0	0	0
2408	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	1	1	0	0	0
2409	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	8	0	1	2	0	0	0
2410	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	5	0	0	1	0	0	0
2411	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	21	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	3	0	0	0
2412	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	20	3	0	0	0	1	1	0	0	0	0	8	0	0	0	0	0	11	0	1	0
2413	0	1	0	0	0	31	0	0	0	0	0	0	0	0	0	0	3	0	21	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	4	0
2414	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	13	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0
2415	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	3	0	31	2	0	1	0	1	4	0	0	0	0	5	0	0	0	0	0	0	0	4	1
2416	0	1	1	0	0	0	0	0	0	0	0	1	0	0	4	0	4	0	50	0	0	0	0	2	1	0	0	1	0	4	0	0	0	0	2	3	0	2	0
2417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5	0	99	2	0	0	0	20	1	0	0	0	0	4	0	0	0	0	0	3	0	2	0
2497	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	11	0	0	2	0	0	0
2498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	10	0	0	4	0	0	0
2499	0	0	0	0	10	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	9	0	2	2	0	0	0
2500	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	4	0	0	0	0
2501	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	10	0	2	1	0	0	0
2502	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	12	0	1	0	0	0	0
2503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	10	0	0	0	0	0	0
2504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	2	0	0	0	0
2505	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	10	0	5	9	0	0	0
2506	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	7	0	3	1	0	0	0
2507	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	8	0	1	0	0	0	0
2508	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	12	0	2	1	0	0	0
2509	0	2	0	0	17	0	0	0	0	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	1	6	0	0	0
2510	0	6	0	0	5	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	1	0	0	0
2511	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	2	0	0	0
2512	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	20	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	1	0	0	0
